epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.863,1.38268,1.57811,1.10965,0.7078,0.59164,0.65547,0.4189,1.1661,0.94375,1.01514,0.000369823,0.000369823,0.000369823
2,213.484,1.26608,1.02986,1.05759,0.75727,0.68868,0.75162,0.48318,1.1157,0.83014,0.99893,0.000666881,0.000666881,0.000666881
3,314.366,1.22034,0.90592,1.03963,0.77587,0.68675,0.78389,0.51602,1.09979,0.77542,0.99746,0.000890613,0.000890613,0.000890613
4,414.582,1.18422,0.82415,1.02453,0.82952,0.72817,0.81387,0.5475,1.07974,0.74687,0.98852,0.000781033,0.000781033,0.000781033
5,512.91,1.14991,0.77037,1.00762,0.81429,0.7404,0.81134,0.55279,1.08329,0.70247,0.98702,0.000671044,0.000671044,0.000671044
6,612.045,1.11804,0.72315,0.99618,0.83725,0.77539,0.84529,0.58074,1.04119,0.66811,0.96708,0.000561055,0.000561055,0.000561055
7,711.158,1.09101,0.68678,0.9836,0.81423,0.79302,0.84398,0.57814,1.02374,0.64958,0.9652,0.000451066,0.000451066,0.000451066
8,810.081,1.06152,0.65516,0.97467,0.86878,0.79889,0.87153,0.60965,0.99638,0.61372,0.95567,0.000341077,0.000341077,0.000341077
9,909.31,1.03273,0.62831,0.9639,0.85648,0.82112,0.87638,0.62151,0.97889,0.59551,0.94585,0.000231088,0.000231088,0.000231088
10,1009.3,1.01195,0.60388,0.95281,0.86558,0.82564,0.88463,0.63277,0.96424,0.57953,0.94142,0.000121099,0.000121099,0.000121099
